A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
0.0,0.0,1.0,0.0,0.0,0.0,#,#,1.0,#,#,0.0,0.21211164817193184,inf,0.5,1000.0,0.0,1.0,1,20.7258397696,2722,529,0.6363636363636364,0.0002441666278507116,14,20
#,0.0,1.0,0.0,#,#,#,#,0.0,0.0,0.0,0.0,0.2142925333657408,0.0026062202042548364,0.0,996.3971202981036,17.59406254426073,0.005931565664459826,1,19.774476849729083,2974,534,0.5454545454545454,0.00023295882741466824,23,38
#,1.0,0.0,#,0.0,#,#,#,#,0.0,#,0.0,0.002753559199075867,0.003185573441220238,0.0,926.1237313368193,167.77954083694124,7.521509222770153e-08,2,28.410423737050422,2953,545,0.36363636363636365,0.03144110921499554,96,151
#,#,1.0,#,0.0,#,0.0,#,0.0,0.0,#,1.0,0.04985921931856824,0.0022415047148597145,0.0,325.93397760000005,343.01845503999994,2.105777918660742e-09,2,22.26505831261143,2994,557,0.45454545454545453,0.0005245996560355255,20,78
#,0.0,#,#,0.0,1.0,#,#,0.0,0.0,#,1.0,0.008503426750092727,0.0016264922698403814,0.028265586540349757,518.2956480712567,436.21902403991135,6.331068189712543e-10,1,22.510528654171257,2799,557,0.45454545454545453,0.00026519166092790313,25,75
0.0,#,#,#,1.0,1.0,1.0,#,#,#,#,0.0,0.17449296710925827,0.0070237382570210805,0.0,6.852043086179411,31.330503537110502,0.00033125552140375033,1,25.105413854855463,2983,567,0.36363636363636365,0.00029576144126752064,39,155
#,#,0.0,0.0,#,0.0,#,1.0,1.0,#,0.0,1.0,0.03778275977260305,0.0013063457529042379,0.0,509.42208,404.0239786666667,9.288900151548301e-10,1,20.059456,2646,598,0.5454545454545454,0.00023631610504022782,12,34
0.0,#,#,#,0.0,0.0,0.0,1.0,#,0.0,0.0,1.0,0.04016223126066061,0.0011363636363636363,0.027233374491592712,200.0,223.33333333333334,1.7998332061237633e-08,1,31.6,2745,600,0.6363636363636364,0.00037227275352189006,5,19
0.0,#,1.0,0.0,1.0,#,#,1.0,0.0,#,#,0.0,0.010926703578649067,0.0012060611487205032,0.0,588.2532791910401,424.6352254293333,7.243023759546954e-10,1,19.91284404830208,2398,601,0.5454545454545454,0.00023458890140232264,18,40
1.0,1.0,#,#,1.0,1.0,0.0,0.0,#,0.0,0.0,1.0,0.20594335971124192,inf,0.5,0.0,0.0,1.0,1,38.333333333333336,2652,604,0.7272727272727273,0.00045159669467317886,3,8
#,#,0.0,1.0,0.0,0.0,#,1.0,#,#,1.0,0.0,0.004096221010067164,0.0013318695703196026,0.0,470.9137129472,423.26397353984,7.361112861150127e-10,1,26.191338736844802,2521,608,0.5454545454545454,0.0003085544870249923,17,38
1.0,1.0,0.0,1.0,#,#,#,1.0,#,#,1.0,0.0,0.004372115404256834,0.0013124999999999996,0.0,629.348421632,412.6968894805333,8.353029632211112e-10,1,27.099616522239998,2953,613,0.5454545454545454,0.00031925471082663257,16,42
#,#,0.0,1.0,0.0,#,0.0,1.0,#,1.0,1.0,0.0,0.04224947429646059,0.0011363636363636363,0.0,200.0,223.33333333333334,1.7998332061237633e-08,2,30.4,2322,613,0.6363636363636364,0.0007162716270294593,5,18
0.0,#,#,0.0,1.0,0.0,1.0,#,#,#,1.0,0.0,0.055089656883690635,0.0013125,0.0,904.3361046528,173.90714049877334,6.286558034429339e-08,1,22.784012161024002,2995,621,0.5454545454545454,0.00027366777605493256,17,40
#,#,0.0,0.0,#,0.0,#,1.0,1.0,#,0.0,0.0,0.01480247048274275,0.0014949613159713005,0.0,744.101722261291,351.89747237103427,1.853187077453338e-09,3,18.045647265553185,2294,622,0.5454545454545454,0.008358634675213012,22,32
