Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Action Set Size,Average Iteration Age of Action Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total GA Time,Total Evaluation Time
119,0.56,0,125,133,5,2,70.5,0,1,1,0,0,0.08500051498413086,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0
120,0.54,0,126,134,5,4,83.6,0,0,0,1,0,0.08500051498413086,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0
121,0.54,0,126,134,8,5,63.8,0,0,0,0,0,0.08500051498413086,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0
122,0.54,0,127,135,4,1,88.0,0,0,0,1,0,0.08600091934204102,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0010004043579101562
123,0.54,0,127,135,11,7,52.625,0,0,0,0,0,0.08600091934204102,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0010004043579101562
124,0.54,0,128,137,5,4,79.4,0,0,1,0,0,0.08600091934204102,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0010004043579101562
125,0.54,0,128,137,7,5,39.0,0,0,0,0,0,0.08600091934204102,0.011999845504760742,0.0,0.0019998550415039062,0.0,0.0010004043579101562
126,0.54,0,128,137,7,6,79.125,0,0,0,0,0,0.08700060844421387,0.012999534606933594,0.0,0.0019998550415039062,0.0,0.0010004043579101562
127,0.52,0,129,138,2,1,45.0,0,0,0,1,0,0.08700060844421387,0.012999534606933594,0.0,0.0019998550415039062,0.0,0.0010004043579101562
128,0.52,0,130,139,4,2,15.0,0,0,0,1,0,0.08700060844421387,0.012999534606933594,0.0,0.0019998550415039062,0.0,0.0010004043579101562
129,0.52,0,131,140,4,1,12.0,0,0,0,1,0,0.08700060844421387,0.012999534606933594,0.0,0.0019998550415039062,0.0,0.0010004043579101562
130,0.52,0,134,143,5,4,50.5,0,1,1,1,0,0.08800053596496582,0.012999534606933594,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
131,0.52,0,134,143,5,1,72.0,0,0,0,0,0,0.08800053596496582,0.012999534606933594,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
132,0.54,0,135,144,4,2,99.5,0,0,0,1,0,0.08800053596496582,0.012999534606933594,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
133,0.54,0,135,144,6,5,62.66666666666667,0,0,0,0,0,0.08800053596496582,0.012999534606933594,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
134,0.52,0,135,144,6,2,75.33333333333334,0,0,0,0,0,0.08800053596496582,0.012999534606933594,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
135,0.5,0,136,145,5,3,8.666666666666671,0,0,0,1,0,0.08900046348571777,0.013999462127685547,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
136,0.52,0,136,145,14,7,80.0,0,0,0,0,0,0.08900046348571777,0.013999462127685547,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
137,0.54,0,136,145,6,3,105.0,0,0,0,0,0,0.08900046348571777,0.013999462127685547,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
138,0.56,0,136,145,8,5,84.8,0,0,0,0,0,0.08900046348571777,0.013999462127685547,0.0,0.0019998550415039062,0.0009999275207519531,0.0010004043579101562
139,0.56,0,138,147,10,9,65.11111111111111,0,0,1,0,0,0.09000039100646973,0.013999462127685547,0.0,0.0029997825622558594,0.0009999275207519531,0.0010004043579101562
